"id","title","category","framework_mapping","component","data_flow","asset","threat_actor","preconditions","attack_path","impact","likelihood","severity","existing_controls","gaps","residual_risk","detection","tests","evidence","owner","priority","cure53_relevance"
"T-PTR-04","Approve-time safety-code compare UI defaults OFF","STRIDE:Spoofing; LINDDUN","STRIDE; LINDDUN","EscrowDeviceTrustSafetyCheckFlag","Device pairing & trusted-device promotion","Device trust graph, pairing records, vault wraps","Malicious cloud/admin or social-engineering pairer","Firestore write (admin) or victim approving a pending device / first-pairing TOFU window","Operator approving a new device is not, by default, prompted to compare an out-of-band safety code at the moment of approval (EscrowDeviceSafetyCode.swift:202 defaultEnabled=false).","Medium","Low","Medium","Server fingerprint->bytes binding enforced (computerUseSecurity.ts:270) and trust-chain signature bind the key; runtime controller pin gate is ON.","Missing user-facing OOB confirmation at approval time.","A captured-but-valid approval that App Check + nonce admit enrolls a device the human never visually confirmed.","high_risk_action_nonces, escrow approval audit events; pairing-record write audit","See security-test-plan.md (T-PTR); automated regression recommended","EscrowDeviceTrustSafetyCheckFlag","Identity/Pairing","P2 (important hardening)","Standard"
"T-SC-04","Cargo.lock / SwiftPM / Gradle locks not OSV-scanned","STRIDE:Tampering / SSDF RV.1 / SCVS V2","STRIDE; SSDF; SCVS","security-pr.yml:199-209; rust-sast.yml:50-55","Repo<->CI<->prod deploy / artifact registry","Build/release artifacts, CI secrets, deploy credentials","Supply-chain attacker, malicious PR, or insider operator","Ability to land a PR, compromise an action/dep, or operator access","Malicious transitive crate not yet in RustSec, or vulnerable SwiftPM/Gradle dep, lands undetected by OSV.","Medium","Low","Medium","cargo-audit on 2 crates; PR dependency-review.","No OSV/grype over Cargo.lock or Package.resolved or Android Gradle locks.","Medium","CI run logs; action-pin/diff gates; provenance/SBOM gate; CODEOWNERS review","See security-test-plan.md (T-SC); automated regression recommended","security-pr.yml:199-209; rust-sast.yml:50-55","CI/CD","P2 (important hardening)","Standard"
"T-SC-06","GPG checksum signing best-effort, not enforced","STRIDE:Repudiation / SSDF PS.2","STRIDE; SSDF","release.yml:658-664","Repo<->CI<->prod deploy / artifact registry","Build/release artifacts, CI secrets, deploy credentials","Supply-chain attacker, malicious PR, or insider operator","Ability to land a PR, compromise an action/dep, or operator access","If RELEASE_SIGNING_KEY unset/cleared, release publishes UNSIGNED checksums; only Sparkle Ed25519 + notarization remain.","Medium","Low","Medium","Strict-secret gate at :139-170 (does NOT include this key); live-feed Ed25519 verify still runs.","GPG provenance silently optional.","Low","CI run logs; action-pin/diff gates; provenance/SBOM gate; CODEOWNERS review","See security-test-plan.md (T-SC); automated regression recommended","release.yml:658-664","CI/CD","P2 (important hardening)","Standard"
"T-SC-08","Provenance SBOM attests source tree, not as-shipped artifact bytes","STRIDE:Spoofing/Repudiation / SSDF PS.3,RV","STRIDE; SSDF","supply-chain-provenance.yml:59-69,84-93","Repo<->CI<->prod deploy / artifact registry","Build/release artifacts, CI secrets, deploy credentials","Supply-chain attacker, malicious PR, or insider operator","Ability to land a PR, compromise an action/dep, or operator access","Attested SBOM describes re-checked-out source, not the bytes built/published in triggering run; subject/artifact mismatch.","Medium","Low","Medium","release.yml attests actual DMG/zip at :707-737.","Provenance lane generates+attests SBOM regardless of downloaded artifacts.","Medium","CI run logs; action-pin/diff gates; provenance/SBOM gate; CODEOWNERS review","See security-test-plan.md (T-SC); automated regression recommended","supply-chain-provenance.yml:59-69,84-93","CI/CD","P2 (important hardening)","Standard"
"T-TOOL-06","Queued grant authority public key sourced from cloud Firestore (TOFU)","STRIDE Spoofing/Tampering","STRIDE","AgentCapabilityGrantQueueListener.authorityPublicKey","Agent<->Tools / CLI subprocess","Local shell, filesystem, granted agent capabilities","Prompt-injection adversary or malicious CLI agent runtime","An active grant (esp. workspace_write/shell/YOLO/Trusted) on the session","agent_grant_authorities/{deviceId} doc is read (:97-110); a Firestore-write-capable attacker who pre-seeds a key before first pin could forge signed grant requests.","Medium","Medium","Medium","F1 controller pin (validator.registerPeer :81) rejects a key differing from the operator-pinned key","Trust rooted in cloud doc at first pin; pin-store integrity is the real anchor","Medium — depends on pin enforcement and firestore.rules write protection","ComputerUse audit chain; CLI process registry; grant/approval audit events","See security-test-plan.md (T-TOOL); automated regression recommended","AgentCapabilityGrantQueueListener.authorityPublicKey","AgentLens (CLIBridge/ComputerUse)","P2 (important hardening)","Standard"
"T-TOOL-07","Non-trusted workspace preset authorizes autonomous shell (codex workspace-write, droid auto medium)","Agentic: Excessive Agency","Agentic","CLIArgumentBuilder.codexArguments/droidArguments","Agent<->Tools / CLI subprocess","Local shell, filesystem, granted agent capabilities","Prompt-injection adversary or malicious CLI agent runtime","An active grant (esp. workspace_write/shell/YOLO/Trusted) on the session","A .workspace grant maps shell capability to codex --sandbox workspace-write (:89-91) and droid --auto medium (:124-126), enabling autonomous in-workspace command execution with only the CLI's own sandbox.","Medium","Medium","Medium","Not YOLO — relies on CLI-side sandbox/auto-mid","OpenBurnBar cannot verify the CLI honors workspace-write/auto level","Medium","ComputerUse audit chain; CLI process registry; grant/approval audit events","See security-test-plan.md (T-TOOL); automated regression recommended","CLIArgumentBuilder.codexArguments/droidArguments","AgentLens (CLIBridge/ComputerUse)","P2 (important hardening)","Standard"
"T-TRN-04","Metadata exposure to cloud (NodeIds, relay URL, direct IPs, timing, sizes)","STRIDE:InformationDisclosure; LINDDUN:Linkability/Identifiability","STRIDE; LINDDUN","Firestore pairing/audit docs + n0 relay","Device<->Device iroh / relay / Firestore fallback","iroh control channel; transport metadata (NodeIds, IPs, timing)","Malicious cloud/admin or relay operator","Control of the Firestore pairing directory / relay, OR network position","FirestoreIrohPairingDirectory.swift:42-81 and pairing records store raw long-lived NodeIds, relay URL, and direct LAN/WAN IPs in plaintext Firestore; audit details log localNodeId/targetNodeId/relayURL (HermesIrohRelayTransport.swift:441-447); n0 relay observes IP+NodeId+sizes+timing -> user localization/presence correlation","Medium","Low","Medium","payload E2E-sealed; iOS dials without published direct IPs (HermesIrohRelayTransport.swift:452); media telemetry bucketed/hashed (firestore.rules:2718-2757)","control-plane pairing/audit docs store raw NodeIds + relay URL + direct IPs; NodeIds are persistent never-rotated identifiers","Metadata-based tracking/correlation by cloud or anyone with namespace read access","iroh_fallback_to_wss / fallback-rate audit events; pairing-key change audit","See security-test-plan.md (T-TRN); automated regression recommended","Firestore pairing/audit docs + n0 relay","Transport (iroh)","P2 (important hardening)","Standard"
"T-TRN-05","Stale/replayed pairing record steers iOS to dead/hijacked NodeAddr","STRIDE:Tampering/Spoofing","STRIDE","IrohPairingSignature.verify","Device<->Device iroh / relay / Firestore fallback","iroh control channel; transport metadata (NodeIds, IPs, timing)","Malicious cloud/admin or relay operator","Control of the Firestore pairing directory / relay, OR network position","Replay an old signed pairing record within the 180s freshness window (or with client clock skew) to point iOS at a previously-valid-but-reassigned relay/NodeAddr (IrohRelayPairing.swift:133-168)","Medium","Low","Medium","180s freshness window (:74,165); Ed25519 sig over canonical payload incl publishedAtMillis; Mac republishes <=60s (pairingPublishInterval=60)","No per-record nonce/monotonic counter; freshness relies on client clock; no session-challenge binding","Bounded ~3-min replay window; NodeId reassignment in-window unlikely but possible","iroh_fallback_to_wss / fallback-rate audit events; pairing-key change audit","See security-test-plan.md (T-TRN); automated regression recommended","IrohPairingSignature.verify","Transport (iroh)","P2 (important hardening)","Standard"
"T-TRN-06","DoS via connection flood / post-handshake allowlist rejection","STRIDE:DoS","STRIDE","iroh accept_one + Swift acceptLoop","Device<->Device iroh / relay / Firestore fallback","iroh control channel; transport metadata (NodeIds, IPs, timing)","Malicious cloud/admin or relay operator","Control of the Firestore pairing directory / relay, OR network position","Any peer completing ALPN/QUIC handshake reaches accept_one (lib.rs:450); non-allowlisted peers rejected only AFTER handshake+stream accept (HermesIrohRelayHostClient.swift:292) with no per-source rate limit or concurrent-connection cap in the Rust crate; repeated dials force handshakes + Firestore allowlist reads","Medium","Low","Medium","default-deny allowlist closes streams fast (:304); QUIC idle timeout; consecutive-failure rebuild (:392-405)","no connection-rate limit, no concurrent-handshake cap, allowlist lookup per-accept","CPU/handshake amplification + Firestore read pressure from unauthenticated flood; no plaintext exposure","iroh_fallback_to_wss / fallback-rate audit events; pairing-key change audit","See security-test-plan.md (T-TRN); automated regression recommended","iroh accept_one + Swift acceptLoop","Transport (iroh)","P2 (important hardening)","Standard"
"T-AI-05","Insecure output handling: model JSON rendered as missions/recommendations","OWASP LLM05 Improper Output Handling","LLM05; OWASP LLM","insightsHostedAnswer client rendering","Untrusted content (RAG/tool/web/log)<->model context","Agent context/memory; downstream tool-call decisions","Indirect prompt-injection adversary (content author)","Attacker controls text that enters an active agent's context","Provider output parsed as InsightAnalysisResult and rendered as recommendations/missionCandidates (insightsHostedAnswer.ts:301-308); model-authored action proposals trusted by UI.","Low","Medium","Low","Strict JSON envelope, bounded sizes, digest-only input.","No semantic safety validation of recommended missions/actions.","User nudged toward a model-suggested harmful next mission.","Provenance-wrap coverage gaps; tool-loop audit; oracle/RAG source tagging (missing)","See security-test-plan.md (T-AI); automated regression recommended","insightsHostedAnswer client rendering","AgentLens (Context/Chat)","P3 (defense-in-depth)","Low"
"T-AND-03","Exported deep-link / widget / IME / wallpaper attack surface","STRIDE-T/E / MASVS-PLATFORM-1","STRIDE; MASVS; ASVS","AndroidManifest.xml MainActivity@66-78, widget receivers@87-146, QuickGlanceActivity@195-205","Android app<->Keystore/FCM","Android local data, keys, FCM payloads","Thief with unlocked phone or malicious app","Physical access to an unlocked device or a malicious app with shared access","Malicious app fires burnbar:// or AppWidget broadcasts -> navigation/UI side effects","Low","Medium","Low","Deep-link navigation-only no auto-submit (MainActivityIntentActions.kt), E2E launchers BuildConfig.DEBUG-gated requiring non-URL extras, services behind BIND perms","Deep-link input still parsed in release; receivers lack signature permission","LOW","n/a on-device; FCM payload review; Play Integrity (server-side)","See security-test-plan.md (T-AND); automated regression recommended","AndroidManifest.xml MainActivity@66-78, widget receivers@87-146, QuickGlanceActivity@195-205","Mobile-Android","P3 (defense-in-depth)","Low"
"T-AND-05","Remote Unlock saved-credential read not code-coupled to biometric prompt","STRIDE-I / MASVS-AUTH-2","STRIDE; MASVS; ASVS","RemoteUnlockSavedCredentialStore.load:47-64","Android app<->Keystore/FCM","Android local data, keys, FCM payloads","Thief with unlocked phone or malicious app","Physical access to an unlocked device or a malicious app with shared access","load() swallows auth/crypto exception returning null; if a caller reads without first calling authenticateForRemoteUnlock the Keystore still throws (auth required) so value not exposed, but no compile-time guarantee","Low","Medium","Low","Keystore setUserAuthenticationRequired(true) forces fresh auth on decrypt regardless of caller","No code-level binding between prompt success and store read","LOW","n/a on-device; FCM payload review; Play Integrity (server-side)","See security-test-plan.md (T-AND); automated regression recommended","RemoteUnlockSavedCredentialStore.load:47-64","Mobile-Android","P3 (defense-in-depth)","Low"
"T-AND-06","Crash/observability pipeline may capture sensitive in-memory data","STRIDE-I / MASVS-PRIVACY","STRIDE; MASVS; ASVS","AndroidManifest.xml:49-62 Sentry DSN/traces/ANR + Crashlytics","Android app<->Keystore/FCM","Android local data, keys, FCM payloads","Thief with unlocked phone or malicious app","Physical access to an unlocked device or a malicious app with shared access","Crash/ANR payloads or breadcrumbs include prompt/credential fragments shipped off-device","Low","Medium","Low","DSN injected only in CI/non-debug, FLAG_SECURE limits screen capture","No reviewed PII-scrubbing/beforeSend config","LOW (needs Sentry config review)","n/a on-device; FCM payload review; Play Integrity (server-side)","See security-test-plan.md (T-AND); automated regression recommended","AndroidManifest.xml:49-62 Sentry DSN/traces/ANR + Crashlytics","Mobile-Android","P3 (defense-in-depth)","Low"
"T-ATT-05","Content-type trust on display via extension-only inferMime","STRIDE Spoofing; CWE-434/646","STRIDE; CWE-434","MediaFileTransferService.inferMime:179-194","Attachment upload/download + Mercury media transfer","Attachment/media bytes; receiver disk/quota; parsers","Malicious paired peer or attachment uploader","A paired peer or an authenticated upload session","Receiver mime derived from sender-chosen extension; UI may render/preview by mime.","Low","Medium","Low","Mac quarantine xattr gates Gatekeeper on open","No receiver content sniffing on Mercury path.","Type confusion in preview.","Storage finalize size/hash mismatch logs; media budget/kill metrics; quarantine xattr (missing on Mercury)","See security-test-plan.md (T-ATT); automated regression recommended","MediaFileTransferService.inferMime:179-194","Backend + Media","P3 (defense-in-depth)","Low"
"T-ATT-08","Gateway download URL lacks forced Content-Disposition/Content-Type","STRIDE Information disclosure / XSS-adjacent; CWE-79","STRIDE; CWE-79","handleHermesGatewayAttachmentDownloadUrl:1653-1658","Attachment upload/download + Mercury media transfer","Attachment/media bytes; receiver disk/quota; parsers","Malicious paired peer or attachment uploader","A paired peer or an authenticated upload session","Read signed URL issued with no responseDisposition/responseType; a legacy non-octet object served inline could render in a browser web client.","Low","Medium","Low","Sealed objects are application/octet-stream","No explicit responseDisposition=attachment.","Low (sealed objects).","Storage finalize size/hash mismatch logs; media budget/kill metrics; quarantine xattr (missing on Mercury)","See security-test-plan.md (T-ATT); automated regression recommended","handleHermesGatewayAttachmentDownloadUrl:1653-1658","Backend + Media","P3 (defense-in-depth)","Low"
"T-AZ-01","Cross-tenant avatar read (profile-photo BOLA)","STRIDE:InformationDisclosure / LINDDUN:Linkability / OWASP-API1:BOLA / ASVS-V4","STRIDE; LINDDUN; ASVS; API1:","Cloud Storage avatars/{userId}/profile.jpg","Client<->Firestore/Storage","Firestore/Storage objects across tenants; trust roots","Malicious authenticated user or rogue admin (Admin SDK)","Valid Firebase session + App Check, OR Admin/IAM access","Any authenticated uid issues signed/direct read for arbitrary userId","Low","Low","Low","auth required; comment marks accepted risk","No per-owner read scope (storage.rules:19)","All users' profile photos enumerable and correlatable to UIDs","Firestore rules-deny metrics; Cloud Audit Logs; Admin SDK access logs","See security-test-plan.md (T-AZ); automated regression recommended","Cloud Storage avatars/{userId}/profile.jpg","Backend (Functions/Rules)","P3 (defense-in-depth)","Low"
"T-AZ-02","Shared-artifact write into another tenant's workspace path","STRIDE:Tampering / OWASP-API1:BOLA + API3:BOPLA / ASVS-V4","STRIDE; ASVS; API1:; API3:","workspaces/{workspaceId}/teams/{teamId}/artifacts/{id}","Client<->Firestore/Storage","Firestore/Storage objects across tenants; trust roots","Malicious authenticated user or rogue admin (Admin SDK)","Valid Firebase session + App Check, OR Admin/IAM access","mallory writes ownerUserID=mallory doc under workspace-alice/...","Low","Low","Low","Read gated on ownerUserID==auth.uid; no active client writer found","sharedArtifactOwnerWrite (firestore.rules:1073-1080) never binds workspaceId to a uid; zero rules-test coverage","Namespace pollution/quota-grief in another tenant path; latent if future read keys off path","Firestore rules-deny metrics; Cloud Audit Logs; Admin SDK access logs","See security-test-plan.md (T-AZ); automated regression recommended","workspaces/{workspaceId}/teams/{teamId}/artifacts/{id}","Backend (Functions/Rules)","P3 (defense-in-depth)","Low"
"T-AZ-07","Operator custom-claim (burnbarOperator) trust breadth","STRIDE:ElevationOfPrivilege / OWASP-API5:BFLA","STRIDE; API5:","isOperator() firestore.rules:38-40 gating ops/* metrics","Client<->Firestore/Storage","Firestore/Storage objects across tenants; trust roots","Malicious authenticated user or rogue admin (Admin SDK)","Valid Firebase session + App Check, OR Admin/IAM access","Misissued burnbarOperator claim reads ops budget/metrics/events across all tenants","Low","Low","Low","Claim server-minted; only ops aggregate collections gated (not user content)","No code in scope proves claim-issuance custody","Scoped to ops telemetry, not user-private data; issuance path UNKNOWN","Firestore rules-deny metrics; Cloud Audit Logs; Admin SDK access logs","See security-test-plan.md (T-AZ); automated regression recommended","isOperator() firestore.rules:38-40 gating ops/* metrics","Backend (Functions/Rules)","P3 (defense-in-depth)","Low"
"T-CRY-03","Anti-replay high-water-mark stored in a deletable plaintext file","STRIDE:Tampering (anti-replay state)","STRIDE","HermesRelayReplayCache","Phone<->Cloud<->Mac sealed relay/gateway","Relay & gateway message payloads","Network attacker / malicious or compromised relay","On-path network position or control of a relay/gateway lane","Delete .../HermesRelay/authenticated-request-replay-cache.json (HermesRelaySenderTrustResolver.swift:151-158) -> maxCounter resets to -1 and requestID set clears -> prior authenticated frames (counter <= old max) replay until counter advances.","Low","Medium","Low","Counter is AAD-bound (frame must be a real prior frame, not forgeable); TTL prunes requestIDs; local-only file requires Mac FS access.","No tamper-evidence/monotonic anchor outside the file.","Bounded local replay after filesystem compromise (matches CURE53 T-GW-3).","Relay version telemetry; HPKE open-failure metrics; downgrade-rate alarm (missing)","See security-test-plan.md (T-CRY); automated regression recommended","HermesRelayReplayCache","Crypto/Core (OpenBurnBarCore)","P3 (defense-in-depth)","Low"
"T-CRY-05","KCI / static-key compromise reads and forges on the affected link (accepted)","STRIDE:Spoofing/Information disclosure","STRIDE","HermesRelayCrypto","Phone<->Cloud<->Mac sealed relay/gateway","Relay & gateway message payloads","Network attacker / malicious or compromised relay","On-path network position or control of a relay/gateway lane","Compromise of a recipient static relay key (HPKE Auth shares this bound) decrypts to that recipient and enables peer impersonation toward it.","Low","Medium","Low","Documented non-goal (HermesRelayCrypto.swift:13-19); keys in Keychain; not exploitable under relay-only model.","By design no double-ratchet/PQXDH (explicitly banned in header).","Accepted; consistent with stated threat model.","Relay version telemetry; HPKE open-failure metrics; downgrade-rate alarm (missing)","See security-test-plan.md (T-CRY); automated regression recommended","HermesRelayCrypto","Crypto/Core (OpenBurnBarCore)","P3 (defense-in-depth)","Low"
"T-CVS-06","Legacy v1 AAD/no-AAD open path weakens domain separation","STRIDE:Tampering","STRIDE","CloudVaultCrypto open path","Client<->Firestore client-sealed sync","CloudVault at-rest content; vault & identity private keys","Compromised unlocked endpoint / curious cloud operator","Read access to Firestore ciphertext, OR code running as the app on an unlocked device","v1-schema envelope opens under no-AAD branch (CloudVaultCrypto.swift:605-606) / legacy v1 AAD accepted (1094-1102), sidestepping path binding","Low","Low","Low","Still requires correct vault key (confidentiality intact); v1 is migration legacy","No enforced cutover removing v1 acceptance","Weakened relocation binding for legacy docs only","Firestore read audit; at-rest open-failure metrics; key-access logs (endpoint side)","See security-test-plan.md (T-CVS); automated regression recommended","CloudVaultCrypto open path","Crypto/Core + Mobile","P3 (defense-in-depth)","Low"
"T-DMN-06","HID root-bridge peer trusted by code-signature alone (no UID anchor)","STRIDE:Spoofing","STRIDE","PrivilegedInputExecutionSocketServer.swift:231 validateSocketPeer (uid==0 branch)","App<->Daemon unix socket / privileged HID socket","Local system control, HID, credentials, daemon RPC","Same-user malware or a compromised signed first-party app","Code execution as the login user OR compromise of a signed first-party binary","A root process forging first-party identity could drive locked-screen input; requires root + Apple-anchored first-party signature, which non-first-party root cannot satisfy.","Low","Medium","Low","Full DR + CD-flag check on the root peer.","Relies entirely on code-sig for root peers (acceptable; root already wins most games).","Low","Daemon peer-auth rejections; ComputerUse audit hash-chain; launchd/binary integrity","See security-test-plan.md (T-DMN); automated regression recommended","PrivilegedInputExecutionSocketServer.swift:231 validateSocketPeer (uid==0 branch)","Daemon/Core","P3 (defense-in-depth)","Low"
"T-DMN-07","Audit token read via private KVC selector on NSXPCConnection (SPI fragility)","STRIDE:Spoofing","STRIDE","PrivilegedInputXPCPeerValidator.swift:25 openBurnBarPeerAuditToken","App<->Daemon unix socket / privileged HID socket","Local system control, HID, credentials, daemon RPC","Same-user malware or a compromised signed first-party app","Code execution as the login user OR compromise of a signed first-party binary","Private auditToken selector (Dev-ID only); if Apple removes it, validator returns nil and fails closed (auditTokenUnavailable).","Low","Medium","Low","Fail-closed on nil; LOCAL_PEERTOKEN socket path is the robust primary.","SPI dependency in the XPC path only.","Low","Daemon peer-auth rejections; ComputerUse audit hash-chain; launchd/binary integrity","See security-test-plan.md (T-DMN); automated regression recommended","PrivilegedInputXPCPeerValidator.swift:25 openBurnBarPeerAuditToken","Daemon/Core","P3 (defense-in-depth)","Low"
"T-GW-01","HTTP gateway edge has no App Check; auth is bearer+PoP only","STRIDE:Spoofing / Agentic:tool-auth","STRIDE; Agentic","burnBarHermesGateway onRequest (callables/hermesGateway.ts:1818)","Phone<->Hermes Gateway<->Mac","Gateway messages/events/attachments + routing metadata","Compromised relay, token+PoP-key thief, or malicious agent","Stolen bearer AND PoP private key, OR control of the gateway store","Stolen bearer token replayed from any client; but every authenticated request also needs a fresh Ed25519 PoP signed by the pinned pairing private key (:845), so token alone is useless.","Low","Medium","Low","Mandatory PoP :693; per-bearer rate limit :1119","No device attestation on the HTTP edge (accepted: agents/phones are non-Firebase clients)","Requires theft of BOTH bearer and Ed25519 signing key — acceptable","Gateway PoP-nonce txn writes; replay-ledger; sealed-write rejection logs","See security-test-plan.md (T-GW); automated regression recommended","burnBarHermesGateway onRequest (callables/hermesGateway.ts:1818)","Backend (Functions)","P3 (defense-in-depth)","Low"
"T-GW-02","PoP body-hash binding covers only JSON body, not raw/multipart or headers","STRIDE:Tampering","STRIDE","gatewayRequestBodyHash (callables/hermesGateway.ts:604)","Phone<->Hermes Gateway<->Mac","Gateway messages/events/attachments + routing metadata","Compromised relay, token+PoP-key thief, or malicious agent","Stolen bearer AND PoP private key, OR control of the gateway store","Non-JSON body hashes to the empty-object string; if a handler consumed raw bytes, PoP would not cover them.","Low","Medium","Low","All write handlers read requestBody() (JSON) only; attachment bytes go to Storage with sha256 finalize gate :507","No explicit reject of non-JSON content-type on signed routes","Low; revisit if a raw-body signed route is added","Gateway PoP-nonce txn writes; replay-ledger; sealed-write rejection logs","See security-test-plan.md (T-GW); automated regression recommended","gatewayRequestBodyHash (callables/hermesGateway.ts:604)","Backend (Functions)","P3 (defense-in-depth)","Low"
"T-GW-03","Path/body swap under same nonce within 5-min window","STRIDE:Tampering / replay","STRIDE","verifyGatewayRequestPoP (callables/hermesGateway.ts:758)","Phone<->Hermes Gateway<->Mac","Gateway messages/events/attachments + routing metadata","Compromised relay, token+PoP-key thief, or malicious agent","Stolen bearer AND PoP private key, OR control of the gateway store","Reuse a captured nonce with a modified method/path/body.","Low","Medium","Low","Signature covers method/path/bodyHash :755 so a swapped request fails signature before nonce is even consumed; nonce single-use :764","None material","None material","Gateway PoP-nonce txn writes; replay-ledger; sealed-write rejection logs","See security-test-plan.md (T-GW); automated regression recommended","verifyGatewayRequestPoP (callables/hermesGateway.ts:758)","Backend (Functions)","P3 (defense-in-depth)","Low"
"T-GW-05","Events list filters targetClientId in app code, not Firestore where-clause","LINDDUN:Disclosure (same-tenant) / availability","LINDDUN","handleEvents (callables/hermesGateway.ts:1100-1106)","Phone<->Hermes Gateway<->Mac","Gateway messages/events/attachments + routing metadata","Compromised relay, token+PoP-key thief, or malicious agent","Stolen bearer AND PoP private key, OR control of the gateway store","Query is uid-scoped (tenant-safe) but client targeting is filtered post-fetch; a query-shape regression could surface same-user other-client targeted events.","Low","Medium","Low","Owner-scoped query; nextCursor over scanned docs prevents re-read; targetClientId filter :1105","Relies on app-layer filter rather than rules/where-constraint","Low — same tenant only, never cross-account","Gateway PoP-nonce txn writes; replay-ledger; sealed-write rejection logs","See security-test-plan.md (T-GW); automated regression recommended","handleEvents (callables/hermesGateway.ts:1100-1106)","Backend (Functions)","P3 (defense-in-depth)","Low"
"T-IOS-06","App Group is a confused-deputy surface between app and extensions","Tampering / Spoofing (MASVS-PLATFORM-1 IPC)","MASVS; ASVS","TextExpansionInbox.swift:42-71, KeyboardViewController.swift:76-95","iOS app<->Keychain/AppGroup/APNs","iOS local data, vault/escrow keys, pasteboard, push payloads","Thief with unlocked phone, malicious sibling app, or backup extractor","Physical access to an unlocked device, a malicious co-resident app, or a device backup","Keyboard writes snippets to shared snapshot+inbox; app drains and cloud-syncs; a compromised/replaced extension or App-Group-entitled sibling could plant snippets the app later trusts and uploads; Darwin notification unauthenticated","Low","Medium","Low","Snippet validation in makeSnippet; dedup by id","No integrity/authenticity check on App Group payloads","Stored-text injection into outbound agent messages via auto-synced snippets","n/a on-device (no jailbreak detection); MDM/backup posture; APNs payload review","See security-test-plan.md (T-IOS); automated regression recommended","TextExpansionInbox.swift:42-71, KeyboardViewController.swift:76-95","Mobile-iOS","P3 (defense-in-depth)","Low"
"T-IOS-07","Deep-link/URL-scheme handler routes attacker-influenced params","Tampering / Spoofing (MASVS-PLATFORM-2 deep links)","MASVS; ASVS","OpenBurnBarMobileApp.swift:137-208","iOS app<->Keychain/AppGroup/APNs","iOS local data, vault/escrow keys, pasteboard, push payloads","Thief with unlocked phone, malicious sibling app, or backup extractor","Physical access to an unlocked device, a malicious co-resident app, or a device backup","burnbar:// scheme unverified (no Universal-Link verification); any app/page can invoke burnbar://assistants?... to drive navigation/stash thread/trigger ShowAgentWatch; threadId unsanitized into Firestore-scoped view","Low","Medium","Low","Prompts ignored on public path; pairing-code origin-restricted; host switch allow-listed","Custom scheme not cryptographically attributable to a caller","Phishing/UI-redress and forced navigation; impact bounded to social engineering","n/a on-device (no jailbreak detection); MDM/backup posture; APNs payload review","See security-test-plan.md (T-IOS); automated regression recommended","OpenBurnBarMobileApp.swift:137-208","Mobile-iOS","P3 (defense-in-depth)","Low"
"T-IOS-08","Keyboard Open Access expands attack surface","Information Disclosure / Spoofing (MASVS-PLATFORM-1)","MASVS; ASVS","OpenBurnBarKeyboard/Info.plist:31-32 (RequestsOpenAccess=true)","iOS app<->Keychain/AppGroup/APNs","iOS local data, vault/escrow keys, pasteboard, push payloads","Thief with unlocked phone, malicious sibling app, or backup extractor","Physical access to an unlocked device, a malicious co-resident app, or a device backup","Open Access grants App Group + potential network; no network code today but a poisoned build could exfiltrate keystrokes once Full Access granted (classic iOS keylogger risk)","Low","Medium","Low","No network egress in current code; no input persistence","Open Access requested broadly; no App-Group-only justification gating","Latent keylogger surface if a malicious update ships; current build benign","n/a on-device (no jailbreak detection); MDM/backup posture; APNs payload review","See security-test-plan.md (T-IOS); automated regression recommended","OpenBurnBarKeyboard/Info.plist:31-32 (RequestsOpenAccess=true)","Mobile-iOS","P3 (defense-in-depth)","Low"
"T-IOS-11","Launch-time protection sweep is bounded and may miss files","Information Disclosure (MASVS-STORAGE-1)","MASVS; ASVS","MobileDataProtectionBootstrap.swift:4,41-46","iOS app<->Keychain/AppGroup/APNs","iOS local data, vault/escrow keys, pasteboard, push payloads","Thief with unlocked phone, malicious sibling app, or backup extractor","Physical access to an unlocked device, a malicious co-resident app, or a device backup","Recursive sweep stops after 2000 items; large Caches/Documents tree leaves later items at default; third-party SDK caches (Firestore persistence) may land outside the swept intent","Low","Medium","Low","Entitlement floor applies to app container; chat self-protected","Sweep best-effort and capped; Firestore local-cache protection class not asserted","Marginal; residual is backup-exclusion gaps and App-Group SDK files","n/a on-device (no jailbreak detection); MDM/backup posture; APNs payload review","See security-test-plan.md (T-IOS); automated regression recommended","MobileDataProtectionBootstrap.swift:4,41-46","Mobile-iOS","P3 (defense-in-depth)","Low"
"T-PRV-06","Agent-notification events retain provider identity + thread graph with no TTL","LINDDUN Linking + Disclosure + Non-compliance; data minimization","LINDDUN","functions/src/agentNotifications.ts:300-321,494-505","Cloud<->APNs/FCM/Sentry/search-index","Metadata, push tokens, call graph, logs, crash reports","Push/analytics sub-processor (Apple/Google/Sentry) or curious operator","Access to push payloads / crash SaaS / Firestore metadata / query logs","Each reply writes users/{uid}/agent_notification_events with runtime/providerLabel/title/threadId/messageId/sourcePath revealing which agent answered + reply cadence; FCM data carries runtime+deep_link to Google; covered by account-erase but never expires","Low","Medium","Low","Generic preview; covered by account-erase tree","No TTL; provider label in title/FCM is a usage-fingerprint leak","Low/Medium; provider-usage fingerprint + reply timing","DLP on push payloads; Sentry event review; log-field audit; search-index access logs","See security-test-plan.md (T-PRV); automated regression recommended","functions/src/agentNotifications.ts:300-321,494-505","Backend (Privacy)","P3 (defense-in-depth)","Low"
